model,held_out,coded,predicted,n,row_pct
harnet10 (probe),25008,on stomach,on stomach,2833,94.43333333333334
harnet10 (probe),25008,on stomach,recline back,44,1.4666666666666666
harnet10 (probe),25008,on stomach,sit,48,1.6
harnet10 (probe),25008,on stomach,stand,6,0.2
harnet10 (probe),25008,recline back,crawl,10,0.42283298097251587
harnet10 (probe),25008,recline back,on back,419,17.716701902748415
harnet10 (probe),25008,recline back,on side,10,0.42283298097251587
harnet10 (probe),25008,recline back,on stomach,21,0.8879492600422833
harnet10 (probe),25008,recline back,recline back,1265,53.48837209302325
harnet10 (probe),25008,recline back,sit,559,23.636363636363637
harnet10 (probe),25008,recline back,stand,81,3.4249471458773786
harnet10 (probe),25008,sit,crawl,7,0.6334841628959276
harnet10 (probe),25008,sit,on back,19,1.7194570135746607
harnet10 (probe),25008,sit,on side,1,0.09049773755656108
harnet10 (probe),25008,sit,on stomach,14,1.2669683257918551
harnet10 (probe),25008,sit,recline back,245,22.171945701357465
harnet10 (probe),25008,sit,sit,733,66.33484162895927
harnet10 (probe),25008,sit,stand,86,7.782805429864253
harnet10 (probe),25008,stand,crawl,5,2.1367521367521367
harnet10 (probe),25008,stand,on back,0,0.0
harnet10 (probe),25008,stand,on side,0,0.0
harnet10 (probe),25008,stand,on stomach,2,0.8547008547008548
harnet10 (probe),25008,stand,recline back,30,12.82051282051282
harnet10 (probe),25008,stand,sit,131,55.98290598290598
harnet10 (probe),25008,stand,stand,66,28.205128205128204
harnet10 (full),25003,crawl,crawl,0,0.0
harnet10 (full),25003,crawl,on back,0,0.0
harnet10 (full),25003,crawl,on side,0,0.0
harnet10 (full),25003,crawl,on stomach,0,0.0
harnet10 (full),25003,crawl,recline back,0,0.0
harnet10 (full),25003,crawl,sit,0,0.0
harnet10 (full),25003,crawl,stand,0,0.0
harnet10 (full),25003,on back,crawl,0,0.0
harnet10 (full),25003,on back,on back,3043,97.09636247606892
harnet10 (full),25003,on back,on side,17,0.5424377791959157
harnet10 (full),25003,on back,on stomach,15,0.4786215698787492
harnet10 (full),25003,on back,recline back,11,0.35098915124441604
harnet10 (full),25003,on back,sit,23,0.7338864071474155
harnet10 (full),25003,on back,stand,25,0.797702616464582
harnet10 (full),25003,on side,crawl,1,1.3333333333333335
harnet10 (full),25003,on side,on back,3,4.0
harnet10 (full),25003,on side,on side,57,76.0
harnet10 (full),25003,on side,on stomach,14,18.666666666666668
harnet10 (full),25003,on side,recline back,0,0.0
harnet10 (full),25003,on side,sit,0,0.0
harnet10 (full),25003,on side,stand,0,0.0
harnet10 (full),25003,on stomach,crawl,0,0.0
harnet10 (full),25003,on stomach,on back,1,0.06309148264984228
harnet10 (full),25003,on stomach,on side,0,0.0
harnet10 (full),25003,on stomach,on stomach,1580,99.6845425867508
harnet10 (full),25003,on stomach,recline back,0,0.0
harnet10 (full),25003,on stomach,sit,4,0.2523659305993691
harnet10 (full),25003,on stomach,stand,0,0.0
harnet10 (full),25003,recline back,crawl,0,0.0
harnet10 (full),25003,recline back,on back,16,1.6243654822335025
harnet10 (full),25003,recline back,on side,2,0.20304568527918782
harnet10 (full),25003,recline back,on stomach,0,0.0
harnet10 (full),25003,recline back,recline back,859,87.20812182741116
harnet10 (full),25003,recline back,sit,86,8.730964467005077
harnet10 (full),25003,recline back,stand,22,2.233502538071066
harnet10 (full),25003,sit,crawl,0,0.0
harnet10 (full),25003,sit,on back,4,0.5398110661268556
harnet10 (full),25003,sit,on side,0,0.0
harnet10 (full),25003,sit,on stomach,0,0.0
harnet10 (full),25003,sit,recline back,69,9.31174089068826
harnet10 (full),25003,sit,sit,507,68.42105263157895
harnet10 (full),25003,sit,stand,161,21.727395411605936
harnet10 (full),25003,stand,crawl,3,0.4178272980501393
harnet10 (full),25003,stand,on back,15,2.0891364902506964
harnet10 (full),25003,stand,on side,0,0.0
harnet10 (full),25003,stand,on stomach,0,0.0
harnet10 (full),25003,stand,recline back,58,8.07799442896936
harnet10 (full),25003,stand,sit,362,50.41782729805014
harnet10 (full),25003,stand,stand,280,38.99721448467967
harnet10 (full),25004,crawl,crawl,100,84.03361344537815
harnet10 (full),25004,crawl,on back,0,0.0
harnet10 (full),25004,crawl,on side,2,1.680672268907563
harnet10 (full),25004,crawl,on stomach,16,13.445378151260504
harnet10 (full),25004,crawl,recline back,0,0.0
harnet10 (full),25004,crawl,sit,1,0.8403361344537815
harnet10 (full),25004,crawl,stand,0,0.0
harnet10 (full),25004,on back,crawl,0,0.0
harnet10 (full),25004,on back,on back,26,96.29629629629629
harnet10 (full),25004,on back,on side,0,0.0
harnet10 (full),25004,on back,on stomach,0,0.0
harnet10 (full),25004,on back,recline back,1,3.7037037037037033
harnet10 (full),25004,on back,sit,0,0.0
harnet10 (full),25004,on back,stand,0,0.0
harnet10 (full),25004,on side,crawl,0,0.0
harnet10 (full),25004,on side,on back,0,0.0
harnet10 (full),25004,on side,on side,15,83.33333333333334
harnet10 (full),25004,on side,on stomach,3,16.666666666666664
harnet10 (full),25004,on side,recline back,0,0.0
harnet10 (full),25004,on side,sit,0,0.0
harnet10 (full),25004,on side,stand,0,0.0
harnet10 (full),25004,on stomach,crawl,9,0.3568596352101507
harnet10 (full),25004,on stomach,on back,7,0.2775574940523394
harnet10 (full),25004,on stomach,on side,0,0.0
harnet10 (full),25004,on stomach,on stomach,2506,99.36558287073751
harnet10 (full),25004,on stomach,recline back,0,0.0
harnet10 (full),25004,on stomach,sit,0,0.0
harnet10 (full),25004,on stomach,stand,0,0.0
harnet10 (full),25004,recline back,crawl,0,0.0
harnet10 (full),25004,recline back,on back,2,0.18726591760299627
harnet10 (full),25004,recline back,on side,0,0.0
harnet10 (full),25004,recline back,on stomach,0,0.0
harnet10 (full),25004,recline back,recline back,954,89.32584269662921
harnet10 (full),25004,recline back,sit,110,10.299625468164795
harnet10 (full),25004,recline back,stand,2,0.18726591760299627
harnet10 (full),25004,sit,crawl,37,2.128883774453395
harnet10 (full),25004,sit,on back,2,0.11507479861910241
harnet10 (full),25004,sit,on side,0,0.0
harnet10 (full),25004,sit,on stomach,24,1.380897583429229
harnet10 (full),25004,sit,recline back,344,19.792865362485614
harnet10 (full),25004,sit,sit,1293,74.39585730724971
harnet10 (full),25004,sit,stand,38,2.186421173762946
harnet10 (full),25004,stand,crawl,0,0.0
harnet10 (full),25004,stand,on back,33,1.4758497316636852
harnet10 (full),25004,stand,on side,0,0.0
harnet10 (full),25004,stand,on stomach,28,1.2522361359570662
harnet10 (full),25004,stand,recline back,26,1.1627906976744187
harnet10 (full),25004,stand,sit,1795,80.2772808586762
harnet10 (full),25004,stand,stand,354,15.831842576028624
harnet10 (full),25005,crawl,crawl,10,66.66666666666666
harnet10 (full),25005,crawl,on back,0,0.0
harnet10 (full),25005,crawl,on side,0,0.0
harnet10 (full),25005,crawl,on stomach,5,33.33333333333333
harnet10 (full),25005,crawl,recline back,0,0.0
harnet10 (full),25005,crawl,sit,0,0.0
harnet10 (full),25005,crawl,stand,0,0.0
harnet10 (full),25005,on back,crawl,0,0.0
harnet10 (full),25005,on back,on back,2240,89.34982050259273
harnet10 (full),25005,on back,on side,97,3.8691663342640603
harnet10 (full),25005,on back,on stomach,0,0.0
harnet10 (full),25005,on back,recline back,159,6.34224172317511
harnet10 (full),25005,on back,sit,9,0.35899481451934584
harnet10 (full),25005,on back,stand,2,0.07977662544874352
harnet10 (full),25005,on side,crawl,0,0.0
harnet10 (full),25005,on side,on back,31,13.839285714285715
harnet10 (full),25005,on side,on side,186,83.03571428571429
harnet10 (full),25005,on side,on stomach,4,1.7857142857142856
harnet10 (full),25005,on side,recline back,1,0.4464285714285714
harnet10 (full),25005,on side,sit,1,0.4464285714285714
harnet10 (full),25005,on side,stand,1,0.4464285714285714
harnet10 (full),25005,on stomach,crawl,12,1.0362694300518136
harnet10 (full),25005,on stomach,on back,2,0.17271157167530224
harnet10 (full),25005,on stomach,on side,7,0.6044905008635579
harnet10 (full),25005,on stomach,on stomach,1134,97.92746113989638
harnet10 (full),25005,on stomach,recline back,0,0.0
harnet10 (full),25005,on stomach,sit,3,0.2590673575129534
harnet10 (full),25005,on stomach,stand,0,0.0
harnet10 (full),25005,recline back,crawl,0,0.0
harnet10 (full),25005,recline back,on back,8,0.4667444574095682
harnet10 (full),25005,recline back,on side,1,0.05834305717619603
harnet10 (full),25005,recline back,on stomach,0,0.0
harnet10 (full),25005,recline back,recline back,1656,96.61610268378062
harnet10 (full),25005,recline back,sit,43,2.5087514585764294
harnet10 (full),25005,recline back,stand,6,0.3500583430571762
harnet10 (full),25005,sit,crawl,0,0.0
harnet10 (full),25005,sit,on back,27,6.940874035989718
harnet10 (full),25005,sit,on side,0,0.0
harnet10 (full),25005,sit,on stomach,2,0.5141388174807198
harnet10 (full),25005,sit,recline back,23,5.912596401028278
harnet10 (full),25005,sit,sit,257,66.0668380462725
harnet10 (full),25005,sit,stand,80,20.565552699228792
harnet10 (full),25005,stand,crawl,2,1.2658227848101267
harnet10 (full),25005,stand,on back,34,21.518987341772153
harnet10 (full),25005,stand,on side,0,0.0
harnet10 (full),25005,stand,on stomach,0,0.0
harnet10 (full),25005,stand,recline back,1,0.6329113924050633
harnet10 (full),25005,stand,sit,41,25.949367088607595
harnet10 (full),25005,stand,stand,80,50.63291139240506
harnet10 (full),25006,crawl,crawl,77,20.424403183023873
harnet10 (full),25006,crawl,on back,0,0.0
harnet10 (full),25006,crawl,on side,0,0.0
harnet10 (full),25006,crawl,on stomach,37,9.814323607427056
harnet10 (full),25006,crawl,recline back,0,0.0
harnet10 (full),25006,crawl,sit,230,61.0079575596817
harnet10 (full),25006,crawl,stand,33,8.753315649867375
harnet10 (full),25006,on back,crawl,0,0.0
harnet10 (full),25006,on back,on back,323,97.28915662650603
harnet10 (full),25006,on back,on side,4,1.2048192771084338
harnet10 (full),25006,on back,on stomach,0,0.0
harnet10 (full),25006,on back,recline back,3,0.9036144578313252
harnet10 (full),25006,on back,sit,2,0.6024096385542169
harnet10 (full),25006,on back,stand,0,0.0
harnet10 (full),25006,on side,crawl,0,0.0
harnet10 (full),25006,on side,on back,6,0.2884615384615385
harnet10 (full),25006,on side,on side,1954,93.9423076923077
harnet10 (full),25006,on side,on stomach,120,5.769230769230769
harnet10 (full),25006,on side,recline back,0,0.0
harnet10 (full),25006,on side,sit,0,0.0
harnet10 (full),25006,on side,stand,0,0.0
harnet10 (full),25006,on stomach,crawl,4,0.2028397565922921
harnet10 (full),25006,on stomach,on back,0,0.0
harnet10 (full),25006,on stomach,on side,2,0.10141987829614604
harnet10 (full),25006,on stomach,on stomach,1916,97.16024340770791
harnet10 (full),25006,on stomach,recline back,0,0.0
harnet10 (full),25006,on stomach,sit,48,2.434077079107505
harnet10 (full),25006,on stomach,stand,2,0.10141987829614604
harnet10 (full),25006,recline back,crawl,0,0.0
harnet10 (full),25006,recline back,on back,0,0.0
harnet10 (full),25006,recline back,on side,1,0.046446818392940084
harnet10 (full),25006,recline back,on stomach,0,0.0
harnet10 (full),25006,recline back,recline back,2085,96.84161634928007
harnet10 (full),25006,recline back,sit,55,2.5545750116117047
harnet10 (full),25006,recline back,stand,12,0.5573618207152811
harnet10 (full),25006,sit,crawl,0,0.0
harnet10 (full),25006,sit,on back,26,4.6263345195729535
harnet10 (full),25006,sit,on side,0,0.0
harnet10 (full),25006,sit,on stomach,0,0.0
harnet10 (full),25006,sit,recline back,37,6.583629893238434
harnet10 (full),25006,sit,sit,358,63.70106761565836
harnet10 (full),25006,sit,stand,141,25.088967971530252
harnet10 (full),25006,stand,crawl,1,0.18832391713747645
harnet10 (full),25006,stand,on back,0,0.0
harnet10 (full),25006,stand,on side,0,0.0
harnet10 (full),25006,stand,on stomach,2,0.3766478342749529
harnet10 (full),25006,stand,recline back,0,0.0
harnet10 (full),25006,stand,sit,205,38.60640301318267
harnet10 (full),25006,stand,stand,323,60.8286252354049
harnet10 (full),25007,crawl,crawl,0,0.0
harnet10 (full),25007,crawl,on back,0,0.0
harnet10 (full),25007,crawl,on side,0,0.0
harnet10 (full),25007,crawl,on stomach,0,0.0
harnet10 (full),25007,crawl,recline back,0,0.0
harnet10 (full),25007,crawl,sit,0,0.0
harnet10 (full),25007,crawl,stand,0,0.0
harnet10 (full),25007,on back,crawl,0,0.0
harnet10 (full),25007,on back,on back,4064,98.52121212121212
harnet10 (full),25007,on back,on side,1,0.024242424242424242
